城市,名称,性质,床位,价格(元/月),特色服务,地址
北京,北京朝阳区福祐养老院,民营,300张,4500,"医养结合,邻近医院,交通便利,餐饮定制,康复护理",豆各庄双桥路29号
北京,北京万科通州随园养老中心,公建民营,649张,7300,"邻近医院,餐饮定制,适老化设计,康复护理,个性化护理",漷兴北四街
北京,北京市房山区随园养老中心,公建民营,770张,6800,"医养结合,邻近医院,交通便利,餐饮定制,适老化设计",北京市房山区长阳镇阜盛东街48号院
北京,乐成养老·半壁店恭和家园,民营,876张,13000,"医养结合,邻近医院,邻近景点,高端定位,餐饮定制",怡乐南街25号
北京,乐成养老·半壁店恭和苑,民营,398张,9000,"医养结合,邻近医院,交通便利,适老化设计,康复护理",怡乐南街16号院3号楼1-9层
北京,通用芳华（北京美康）长者公寓,民营,193张,9800,"医养结合,邻近医院,餐饮定制,康复护理,个性化护理",光明中街18号
北京,泰康之家·燕园,民营,3000张,11000,"医养结合,邻近医院,餐饮定制,高端定位,适老化设计",南邵镇景荣街2号
北京,北京市丰台区看丹老年公寓,公助民办,600张,2500,"医养结合,邻近医院,适老化设计,康复护理,临终关怀",永合庄1号院
北京,北京丰台区相儒养老院,民营,152张,3900,"医保定点,医养结合,餐饮定制,交通便利,适老化设计",葆台西路1号院2号楼
北京,椿萱茂和园长者社区,民营,550张,6800,"高端定位,康复护理,连锁品牌,餐饮定制,医养结合",牛栏山镇
北京,北京市朝阳区江达爱心养老院,民营,152张,3000,"医养结合,交通便利,康复护理",来广营西路临27号
北京,大家的家·北京阜成城心社区,民营,304张,12000,"医养结合,邻近医院,康复护理",北礼士路98号
北京,燕达金色年华健康养护中心,民营,15000张,6200,"邻近医院,交通便利,餐饮定制,适老化设计,康复护理",东燕郊经济技术开发区思菩兰路西侧
北京,泰康之家·北京市海淀区西北旺镇养老服务中心,公办民营,110张,价格面议,"邻近医院,交通便利,适老化设计,康复护理",西北旺镇新谊路13号院1号楼
北京,恒颐复健之家•自如,公办民营,104张,8500,"医养结合,医保定点,邻近景点,高端定位,康复护理",太平街35号
北京,北京市朝阳区万科怡园光熙国际康复老年公寓,民营,110张,价格面议,"医养结合,邻近医院,交通便利,康复护理",北京市朝阳区光熙门北里22号
北京,北京大兴区中晟百晨养老院,民营,550张,5000,"医养结合,康复护理",西红门镇宏福东路甲1号
北京,普亲养老·北京长辛店院,公办民营,160张,6000,"医养结合,邻近医院,适老化设计,康复护理,连锁品牌",长辛店永兴里103号院内
北京,北京市丰台区泰颐春养老中心,民营,217张,8000,"交通便利,医养结合,高端定位,邻近医院,餐饮定制",北京市丰台区榴花路2号院1号楼
北京,北京市房山区拱辰街道社会福利中心,公建民营,500张,2200,"邻近医院,适老化设计,康复护理,临终关怀",拱辰街道梨村
北京,北京市朝阳区恒爱吉星养老院,公建民营,30张,5100,"餐饮定制,适老化设计,个性化护理,交通便利,试住体验",来广营朝悦居6号楼
北京,北京懋源天颐康养社区,民营,227张,7500,"邻近医院,交通便利,餐饮定制,高端定位,适老化设计",孙河乡西甸路7号院27号
北京,北京市大兴区魏善庄镇养老照料中心,公建民营,160张,3000,"医养结合,邻近医院,交通便利",魏善庄镇龙善大街5号院21号楼
北京,北京市大兴区榆垡镇养老照料中心,公建民营,160张,3600,"康复护理,交通便利,个性化护理",榆垡镇盛平街空港新苑养老服务配套建设
北京,北京市华医堂养老康复中心,民营,98张,4800,"医养结合,邻近医院,交通便利,餐饮定制,适老化设计",北京市朝阳区安定门外立水桥北8号
北京,北京房山区普乐时光颐养中心（认知症专业照护）,公助民办,126张,4500,"高端定位,康复护理,个性化护理",长阳镇京深路与佛满路交叉路口往东约100米
北京,通用康养风华北京南苑长者公寓,公建民营,150张,7500,"餐饮定制,康复护理,个性化护理",南苑街道丽槐街2号院4号楼
北京,北京市西城区月坛街道华方养老照料中心,民营,60张,5000,,月坛西街乙2号院5号楼
北京,北京京康古城养老院,民营,300张,2500,"医养结合,交通便利,康复护理",古城小街1号
北京,大兴区西红门镇养老照料中心（鸿坤清檬颐养中心）,公建民营,230张,4300,"医养结合,康复护理,个性化护理",西红门镇欣清北巷18号院
北京,北京石景山区春晖颐老年公寓,民营,220张,4000,"个性化护理,交通便利,适老化设计,临终关怀,邻近医院",隆恩寺路99号
北京,北京市朝阳区佰康老年公寓,民营,410张,3500,"医养结合,邻近医院,康复护理",十八里店乡滨河路5号
北京,北京双桥恭和苑,民营,68张,8000,"医养结合,个性化护理,社区嵌入,交通便利,连锁品牌",双桥西巷6号
北京,北京市大兴区长子营镇敬老院,公办（建）,160张,3500,"康复护理,临终关怀",长子营镇河津营村东
北京,北京市朝阳区小红门乡君颐和悅养老院,民营,36张,6000,"邻近医院,交通便利,适老化设计,康复护理,个性化护理",肖村东路一号
北京,北京双井恭和苑,民营,439张,7800,"医养结合,邻近医院,高端定位,连锁品牌,个性化护理",北京市朝阳区百子湾南二路92号
北京,北京恭和老年公寓,公办民营,469张,4730,"医养结合,康复护理,个性化护理,医保定点,交通便利",茂兴西路7号
北京,北京康养•颐寿嘉园,公办（建）,212张,5000,"邻近医院,交通便利,康复护理,个性化护理",平东路5号
北京,北京市朝阳区观音堂益康养老院,民营,280张,4000,"交通便利,餐饮定制",王四营乡王四营北路甲5号院
北京,北京福提园养老院,民营,700张,2700,"交通便利,餐饮定制,康复护理,临终关怀,医保定点",地铁四号线终点天宫院
上海,上海欧葆庭顾村国际颐养中心,民营,385张,10000,"医养结合,邻近医院,交通便利,餐饮定制,高端定位",顾村镇沪太路4858号
上海,泰康之家·申园,民营,2100张,11627,"邻近医院,交通便利,高端定位,适老化设计,连锁品牌",广轩路298号
上海,上海康申沃尔护理院,民营,400张,3600,"医保定点,医养结合,个性化护理,康复护理,临终关怀",高荷路391
上海,大家的家上海静安城心社区,民营,300张,价格面议,"连锁品牌,邻近医院,交通便利,邻近景点,康复护理",上海市静安区中兴路1599号
上海,上海闵行区呵护家颐养院,公办民营,493张,2500,"高端定位,适老化设计,康复护理,医养结合,临终关怀",北翟路3158号（南华街25号）
上海,泰康之家•申园（护理照护区）,民营,2100张,17400,"医养结合,邻近医院,高端定位,康复护理,连锁品牌",广轩路298号
上海,上海怡安养老院,民营,170张,4200,"医养结合,交通便利",杨浦区延吉新村街道松花江路327号
上海,泰康之家·锦绣府（护理照护区）,民营,200张,18250,"医养结合,康复护理,连锁品牌,临终关怀,个性化护理",东环龙路299号
上海,上海杨浦区久安养老院,民营,538张,3700,"医养结合,交通便利,康复护理",殷行街道国伟路300号E座
上海,泰康之家·锦绣府,民营,200张,20150,"医养结合,邻近医院,餐饮定制,高端定位,适老化设计",东环龙路299号
上海,上海市宝山区嘉道耆乐园养老院（城银路店）,民营,174张,价格面议,"邻近医院,交通便利,康复护理",城银路505号
上海,上海市杨浦馨安老年公寓,民营,146张,价格面议,"餐饮定制,高端定位",内江路6号
上海,上海市虹口区彩虹湾老年福利院,公办民营,860张,4100,"康复护理,临终关怀",凉城路2196号
上海,上海华安养老院,民营,364张,5500,"医养结合,高端定位,康复护理",浦东新区三林镇云台路839号
上海,上海奉贤区五宅青春里颐养院,公建民营,150张,1800,邻近景点,西渡街道五宅村107号
上海,上海金色晚霞护理院,民营,200张,3000,"医养结合,交通便利,康复护理,连锁品牌,临终关怀",长兴岛凤南路1号
上海,上海宝山区秋晖养老院,民营,188张,3900,"医养结合,邻近医院,交通便利,康复护理,连锁品牌",大场镇丰宝路26号
上海,上海怡景养老院,公建民营,403张,3300,"医养结合,邻近医院,连锁品牌",罗泾镇潘沪路78号
上海,上海宝山友谊幸福里养老院,公建民营,215张,3800,"邻近医院,交通便利,康复护理",宝林八村通道128号
上海,上海金色怡福护理院,民营,302张,4500,"康复护理,连锁品牌,临终关怀",潘泾路5998号临2号
上海,上海金色晚年护理院,民营,500张,价格面议,"医养结合,邻近医院,康复护理",月浦镇月新南路582号
上海,上海宝山区金色晚年敬老院,民营,503张,4100,"医养结合,康复护理",月浦镇新镇车站南首（月新南路）
上海,上海毅韬护理院,民营,192张,4650,"邻近医院,交通便利,康复护理",沪青平公路3609弄4号
上海,上海亲清护理院,民营,400张,价格面议,"康复护理,临终关怀,医养结合,医保定点",辰花路387号
上海,上海星辰家养老院,公建民营,330张,4120,"邻近景点,医养结合,邻近医院,适老化设计,交通便利",大场镇祁康路516号
上海,泰康之家·静安府（未开业，可预订）,民营,380张,价格面议,"医养结合,个性化护理,连锁品牌,适老化设计,高端定位",康宁路388号
上海,梧桐人家国际健康颐养社区,民营,288张,7700,"高端定位,适老化设计,康复护理,个性化护理,医养结合",忘忧路100弄（康新公路与望江南路交叉口）
上海,椿萱茂•虹湾长者社区,民营,421张,9000,"医养结合,邻近医院,交通便利,高端定位,连锁品牌",黄家花园路128弄1号
上海,上海嵩泰护理院,民营,418张,3300,"医保定点,医养结合,康复护理,临终关怀,适老化设计",永新路998弄1~3号
上海,上海市闵行区星堡浦江养老公寓,民营,762张,6660,"邻近医院,临终关怀",上海市闵行区浦江镇联航路1505弄5号楼
上海,上海浦东新区香树湾养护院,民营,350张,4500,"医养结合,邻近医院,康复护理",浦东新区宣桥镇六奉公路5033弄1号
上海,上海闵行区浦江社区春田长者照护之家,民营,34张,4200,"适老化设计,康复护理",闵行区浦连路412号
上海,上海航圆护理院,民营,700张,5000,"交通便利,康复护理,临终关怀",沪南公路5455弄1-10号
上海,椿萱茂（上海康桥）老年公寓,民营,343张,7350,"邻近医院,交通便利,适老化设计",未知
上海,上海康而寿福恩护理院,民营,300张,4500,"康复护理,连锁品牌",康桥川周公路2691号
上海,上海青浦区徐泾镇养护院,公建民营,852张,4500,"医养结合,交通便利,康复护理",徐泾镇乐高路59号
上海,上海闵行区浦江社区浦涛长者照护之家,公办民营,49张,3800,"医养结合,康复护理",浦江镇江航路91号
上海,上海青浦区白鹤养护院,公建民营,432张,3500,"邻近医院,交通便利,康复护理,临终关怀",白鹤镇程鹤路399号
上海,上海盈康护理院,公建民营,780张,4000,"医养结合,医保定点,康复护理,临终关怀,个性化护理",上海市青浦区大盈路488号
上海,上海虹口区银康老年公寓,民营,462张,6000,"医养结合,邻近医院,康复护理,临终关怀",凉城路2283号（原场中路685弄98号）
福州,泰康之家·福园,民营,1350张,7200,"医养结合,邻近医院,高端定位,适老化设计,连锁品牌",登云片区
福州,泰康之家·福园（护理照护区）,民营,1350张,10000,"医养结合,邻近医院,交通便利,邻近景点,高端定位",登云路以南
福州,福州五福缘老人养护中心,社会团体,180张,2800,"交通便利,适老化设计,康复护理,临终关怀,个性化护理",福州市西洪路528号空军房管局大院内（金牛山公园附近）
福州,晋安区社会福利中心（华煦养老院）,公办民营,600张,2646,"医养结合,高端定位,个性化护理,邻近景点,试住体验",宦溪镇山溪村溪湾42号
福州,福州市寿尔康南街街道社区养老服务照料中心,公办民营,24张,3500,"医养结合,交通便利,餐饮定制,适老化设计,康复护理",福建省福州市鼓楼区杨桥河南社区28座2层
福州,福州市国德老年康养中心（福州市社会福利中心）,公办民营,1350张,2880,"医养结合,邻近医院,康复护理,临终关怀,个性化护理",金塘路2号
福州,闽侯伍心青鸟养老服务有限公司,公建民营,300张,2800,"连锁品牌,试住体验,康复护理",闽侯县甘蔗街道灵峰路6号
福州,福州康寿长者照护中心,民营,600张,价格面议,"邻近医院,交通便利,个性化护理",福州省福州市晋安区岳峰镇安亭路688号
福州,福州柚子百逸老年公寓,民营,212张,2900,"医养结合,邻近医院,交通便利,高端定位,康复护理",六一中路396号
福州,福州市松鹤老年产业,民营,100张,600,"交通便利,康复护理",福建省福州市鼓楼区柳河路81号
福州,连江县琯头镇侨兴老年公寓,公助民办,260张,2500,,琯头镇琯福大道56号（琯头供电所隔壁）
福州,福建医大附一护养中心,民营,360张,2000,"医养结合,邻近医院,康复护理",福建省福州市马尾区登龙路63号福建医大附一护养中心卧龙山庄旁
福州,福州齐鲁山庄夕阳红乐园,民营,80张,1800,邻近医院,福州市郊南屿笔架山农业观光园
福州,福州市连江县福得养老院,公建民营,100张,3300,"医养结合,交通便利,医保定点,个性化护理,邻近医院",江南镇龙浦村文进路35-1
福州,马尾区亭江镇居家社区养老服务照料中心,公建民营,17张,2800,"适老化设计,邻近医院,餐饮定制,交通便利,社区嵌入",亭江镇亭江路36-57西亭康城
福州,琅岐镇居家社区养老服务照料中心,公建民营,20张,2500,"邻近医院,交通便利,社区嵌入",福建省福州市马尾区琅岐镇香海佳园安置房5号、6号裙楼附属楼商业配套用房1层、2层
福州,福建省福州市第二福利院,公办（建）,180张,价格面议,康复护理,自泉安
福州,福建省福州市鼓楼区重阳康复养老院,公办（建）,200张,价格面议,"邻近医院,康复护理",鼓楼区后县路18号（福建省煤矿中心医院内）
重庆,宏善养老康享苑颐养中心,民营,220张,3980,"医养结合,连锁品牌,适老化设计,试住体验,康复护理","翠渝路,近园博园"
重庆,重庆国投健康长者公寓,公建民营,349张,3000,"连锁品牌,适老化设计,邻近医院,医养结合,交通便利",重庆市沙坪坝区土主街道四塘村幸福组临999号
重庆,椿萱茂（重庆回兴）老年公寓,民营,194张,6000,"邻近医院,交通便利,个性化护理,高端定位,适老化设计",回兴街道金锦路10号
重庆,宏善养老怡康里颐年公寓,公建民营,255张,2500,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",棠香街道佳华医院背后
重庆,泰康之家·渝园,民营,1600张,5700,"医养结合,餐饮定制,高端定位,适老化设计,连锁品牌",通海六支路
重庆,宏善养老涪康里颐年公寓,公建民营,351张,2500,"医养结合,连锁品牌,适老化设计,试住体验,康复护理","马鞍街道榨菜集团旁,114路三公里站"
重庆,泰康之家·渝园（护理照护区）,民营,1350张,10000,"医养结合,餐饮定制,高端定位,康复护理,连锁品牌",大竹林街道青岗路186号
重庆,宏善养老垫康里颐年公寓,公建民营,387张,2000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理","桂阳街道原社会福利院,长安天樾对面"
重庆,椿萱茂（重庆园博园）老年公寓,民营,260张,5500,"邻近医院,交通便利,高端定位,餐饮定制,适老化设计",重庆市两江新区秋岚路9号2栋
重庆,龙岗街道西禅社区养老服务中心,公建民营,130张,2500,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",大荣路贵和苑小区
重庆,宏善养老嘉康荟颐年公寓,民营,256张,3000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",辽宁路老法院
重庆,双龙湖街道社区养老服务中心,公助民办,48张,3000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",双龙湖凯歌路地铁双龙站
重庆,宏善养老亲和苑养护中心,公助民办,102张,3000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理","宝圣湖青河世家,近汽博"
重庆,宏善养老嘉悦里颐年公寓,民营,230张,3980,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",新牌坊新光天地背后
重庆,渝州路街道六店社区养老服务中心,公助民办,45张,3000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",六店子小区
重庆,宏善养老安和里颐年公寓,公助民办,93张,3000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",谢家湾小学旁
重庆,宏善养老公园里怡养中心,公助民办,196张,3000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",经纬大道美茵运动公园内
重庆,渝州路街道一社区养老服务中心,公助民办,42张,3000,"医养结合,连锁品牌,适老化设计,试住体验,康复护理",南方新城东苑
重庆,宏善养老康乐源养护中心,民营,370张,3200,"医养结合,连锁品牌,适老化设计,试住体验,康复护理","兰美路美茵河谷小区,近高庙村地铁站"
重庆,宏善养老澄康里颐年公寓,公建民营,128张,1800,"医养结合,连锁品牌,适老化设计,试住体验,康复护理","澄溪镇泽生大道,近垫八中"
重庆,宏善养老禾溪颐年公寓,公建民营,300张,1680,"邻近医院,连锁品牌,适老化设计,试住体验,康复护理",柏杨街道文景路102号
重庆,宏善养老麻柳嘴院,公建民营,135张,1500,"邻近医院,适老化设计,康复护理,连锁品牌,试住体验",麻柳嘴镇敬老院
重庆,宏善养老巴南南彭院,公建民营,156张,1500,"邻近医院,适老化设计,连锁品牌,试住体验,康复护理",南彭镇敬老院
重庆,重庆市南岸区绿叶老年公寓,民营,120张,2200,,重庆市南岸区南山公园路108号（南山植物园后门）
重庆,重庆德仁养老中心（大渡口分院）,民营,209张,2300,"医养结合,康复护理,医保定点,适老化设计,交通便利",半岛逸景金阳路216号（239终点车站旁）
重庆,重庆市正博养老院,民营,70张,2000,"医养结合,邻近医院,康复护理",重庆市大渡口区钢花路999号江上新都（重庆正博兴中医医院楼上）
重庆,中颐颐养园,民营,1100张,2500,"医养结合,邻近医院,适老化设计,餐饮定制,连锁品牌",重庆市沙坪坝区歌乐山镇天池村中颐颐养园
重庆,重庆市南岸区南山长生桥镇敬老院,公办（建）,104张,1650,"邻近景点,康复护理",重庆市南岸区长生桥镇凉风村大岗垭
重庆,重庆市北碚区天毅老年颐养院,民营,200张,价格面议,,天津路26号
重庆,小平山庄居家养老院,民营,60张,1800,康复护理,重庆市.巴南区.东温泉镇.小平鱼庄内
重庆,重庆市綦江区护宁康医养中心,民营,90张,2000,"医养结合,医保定点,交通便利,餐饮定制,个性化护理",古南街道中山路2号（区政府对面）
重庆,重庆市长寿区但渡镇养老公寓,公办（建）,310张,价格面议,康复护理,长寿区但渡镇但渡村300号
重庆,菜园坝康心养老服务中心,公助民办,124张,3000,"医养结合,医保定点,交通便利,康复护理,临终关怀",菜园坝南区路外滩公交站旁
重庆,重庆江北德仁失能老人养护中心,民营,300张,2000,"医养结合,邻近医院,康复护理",重庆市江北区南桥寺江石村一号
重庆,重庆市大渡口区广仁颐和老年公寓,民营,200张,1800,"邻近医院,康复护理",重庆市大渡口区跳蹬镇红胜村9社（原大渡口敬老院）
重庆,兴艺老年公寓,民营,100张,1300,"医养结合,康复护理",歌乐山镇大田湾73号
重庆,阳光家园,民营,80张,价格面议,,重庆市南岸区上新街前驱路104号
重庆,狮子山老年公寓,公建民营,600张,2980,"医养结合,邻近医院,适老化设计,康复护理,个性化护理",重庆市巴南区龙洲湾轻轨3号线大山村站往阳光100阿尔勒小区上行约200米
重庆,五季元养老,民营,130张,3000,"医保定点,医养结合,邻近医院,邻近景点,高端定位",重庆市江北区铁山坪森林公园
重庆,重庆市潼南区鼎盛健康养老服务有限公司,民营,82张,600,"医养结合,康复护理,医保定点,交通便利,邻近景点",龙形镇池坝村3组260号
成都,蜀都颐锦养老服务中心,民营,55张,1630,"适老化设计,康复护理,邻近医院,连锁品牌,社区嵌入",顺河东路71号
成都,择木栖光华康养中心,公建民营,182张,3200,"医养结合,交通便利,餐饮定制,适老化设计,邻近医院",蔡桥街道光华西三路362号
成都,成都顾连老年医养中心,民营,460张,2900,"医养结合,康复护理,临终关怀,医保定点,个性化护理",天辰路60号
成都,四川蓝生老年医养中心,民营,110张,4000,"医保定点,交通便利,医养结合,康复护理,适老化设计",安蓉路6号
成都,成都市郫都区颐园养老院,民营,600张,1950,"医养结合,邻近医院,适老化设计,康复护理",安靖镇方桥村六组309号
成都,成都市金牛区金樾荟养护中心,公建民营,95张,4000,"邻近医院,适老化设计,个性化护理",金科中路5号（茶店子小学国宾校区旁）
成都,成都市龙泉驿区洛带南山养老院,民营,130张,2400,"交通便利,适老化设计,康复护理,连锁品牌,临终关怀",洛带镇岐山村12组153号
成都,椿萱茂（成都西三环）老年公寓,民营,368张,6000,"邻近医院,交通便利,高端定位,餐饮定制,个性化护理",金履一路187号
成都,金煦福万寿颐养中心,公建民营,111张,3500,"邻近医院,餐饮定制,社区嵌入,个性化护理,交通便利",万寿四路128号
成都,郫都区虹满天康养中心（成都颐锦天泰老年病医院）,民营,429张,2950,,犀浦镇犀团路109号（虹满天康养中心）
成都,椿萱茂（成都中环北）老年公寓,民营,398张,6000,"邻近医院,交通便利,邻近景点,餐饮定制,高端定位",成华区双荆路1号B座
成都,新都区桂湖街道团结社区综合为老服务中心,公建民营,92张,3000,"康复护理,社区嵌入,连锁品牌",桂湖街道团结社区养老服务综合体
成都,颐锦•锦虹颐养综合体,公建民营,15张,2200,"社区嵌入,康复护理,邻近医院,适老化设计,个性化护理",岳店社区4组25号
成都,成都高新区中和街道养老服务综合体,公建民营,76张,3300,"医养结合,连锁品牌,康复护理,交通便利",中和街道新通大道35号
成都,锦虹•幸福家颐养中心,公办民营,64张,2640,"邻近医院,餐饮定制,适老化设计,康复护理,社区嵌入",普兴街道马家塘一街50号二楼
成都,椿萱茂（成都南三环）老年公寓,民营,242张,6000,"邻近医院,交通便利,邻近景点,餐饮定制,高端定位",锦丰一路39号
成都,成都市郫都区安靖街道社区养老服务综合体,公建民营,15张,5000,"交通便利,适老化设计,康复护理",安靖街道方林南路与万家沱路交汇处
成都,泰康之家·锦官府（未开业）,民营,900张,价格面议,"医养结合,邻近医院,高端定位,适老化设计,连锁品牌",锦江生态带天府大道南段
成都,泰康之家·蜀园,民营,1800张,6500,"医养结合,邻近医院,高端定位,适老化设计,康复护理",四川省成都市温江区永宁镇民康路299号
成都,颐锦•德源菁弘养老服务综合体,民营,9张,4780,"医养结合,康复护理,适老化设计,社区嵌入,个性化护理",柏林东路与红旗大道北段交叉口东南40米
